"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2025-09-01,2025-09-30,"RYZEN 7 5700G BLACK",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,585,879,28.12,-,-,-,168.72,2025-11-23,11,2,,,,,84.36,6,28.12,,,10
2025-09-01,2025-09-30,"RYZEN 5 15+1",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",68,actions:onsite_conversion.messaging_conversation_started_7d,5267,8204,13.97911765,-,-,-,950.58,2025-11-23,95,49,1,950.58,,,19.399592,68,13.979118,,,241
2025-09-01,2025-09-30,"DAN KRAKEN 1",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,1251,2314,47.82375,-,-,-,382.59,2025-11-23,19,5,1,382.59,,,76.518,8,47.82375,,,38
2025-09-01,2025-09-30,"RYZEN 5 15+1+1 WIN",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",46,actions:onsite_conversion.messaging_conversation_started_7d,3964,5665,14.99934783,-,-,-,689.97,2025-11-23,57,35,,,,,19.713429,46,14.999348,,,140
2025-09-01,2025-09-30,"PCS RYZEN 5 COMSHOP PACKAGE BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",90,actions:onsite_conversion.messaging_conversation_started_7d,8929,16165,16.77866667,-,-,-,1510.08,2025-11-23,117,60,1,1510.08,,,25.168,90,16.778667,,,347
2025-09-01,2025-09-30,"R5 5600G 10PCS CP 09/06 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",21,actions:onsite_conversion.messaging_conversation_started_7d,2473,2958,13.63333333,-,-,-,286.3,2025-11-23,25,12,1,286.3,,,23.858333,21,13.633333,,,62
2025-09-01,2025-09-30,"GAMING R5 8+1 DP 09/04 BERT",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,737,1031,42.9575,-,-,-,171.83,2025-11-23,7,3,,,,,57.276667,4,42.9575,,,20
2025-09-01,2025-09-30,"R5 5600G 8PCS CP 09/03 BERT",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,1177,2026,41.34125,-,-,-,330.73,2025-11-23,13,2,,,,,165.365,8,41.34125,,,32
2025-09-01,2025-09-30,"R5 3400G 10+1 DP 09/02 BERT",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",,,328,409,,-,-,-,65.53,2025-11-23,,,,,,,,,,,,5
2025-09-01,2025-09-30,"4PCS R5 3400G COMSHOP PACKAGE 09/07 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",27,actions:onsite_conversion.messaging_conversation_started_7d,3024,4748,22.23925926,-,-,-,600.46,2025-11-23,45,15,,,,,40.030667,27,22.239259,,,122
