"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2026-01-01,2026-01-27,"12/20/25 - 10+1 Ryzen 7 Dislkess Setup",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",14393,reach,14393,14393,7.61759188,Average,-,-,109.64,2026-02-21,,,,,,,,,,,,20
2026-01-01,2026-01-27,"12/25/25 -  HIGHLIGHTS R5 34G 4PCS",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",226425,reach,226425,256033,8.92162968,Average,-,-,2020.08,2026-02-21,18,15,,,,,134.672,18,112.226667,,,427
2026-01-01,2026-01-27,"11/28/25 RAM PRICE HIKE",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",13357,reach,13357,13698,7.29579996,"Below average - Bottom 35% of ads",-,-,97.45,2026-02-21,,,,,,,,,,,,16
2026-01-01,2026-01-27,"11/28/25 - R5 3400G 4PCs highlighs 1",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",8584,reach,8584,8867,8.1500466,Average,-,-,69.96,2026-02-21,,,,,,,,,,,,6
2026-01-01,2026-01-27,"12/23/25 - R5 56G 8PCS Compshop Package",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",32420,reach,32420,35505,9.33127699,Average,-,-,302.52,2026-02-21,1,1,,,,,302.52,1,302.52,,,39
2026-01-01,2026-01-27,"12/26/25 - HIGHLIGHTS R5 34G 6PCS",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",83703,reach,83703,90961,7.79314959,"Above average",-,-,652.31,2026-02-21,2,2,,,,,326.155,2,326.155,,,76
2026-01-01,2026-01-27,"12/29/25 - R5 10+1 DISKLESS SETUP",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",9399,reach,9399,9452,8.57538036,Average,-,-,80.6,2026-02-21,,,,,,,,,,,,10
2026-01-01,2026-01-27,"1/5/26 - R5 10+1 DISKLESS SETUP - Copy",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",23563,reach,23563,24276,8.80957433,Average,-,-,207.58,2026-02-21,2,2,,,,,103.79,2,103.79,,,25
2026-01-01,2026-01-27,"1/7/25 - R5 5600G 10PCS COMPSHOP PACKAGE",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",4543,reach,4543,4586,8.7012987,Average,-,-,39.53,2026-02-21,,,,,,,,,,,,7
2026-01-01,2026-01-27,"1/8/26 - R7 7700 + RTX 5060",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",19557,reach,19557,20152,8.15104566,Average,-,-,159.41,2026-02-21,,,,,,,,,,,,23
2026-01-01,2026-01-27,"1/9/26 - R5 3400G 6PCS",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",9591,reach,9591,10323,9.09394224,Average,-,-,87.22,2026-02-21,,,,,,,,,,,,10
2026-01-01,2026-01-27,"1/11/26 - R5 5600G 10+1 EL DP",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",5152,reach,5152,5397,8.43555901,Average,-,-,43.46,2026-02-21,2,1,,,,,43.46,1,43.46,,,8
2026-01-01,2026-01-27,"1/10/25 - R7 5700x RX6600",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,188,233,11.845,-,-,-,23.69,2026-02-21,2,2,,,,,11.845,2,11.845,,,3
2026-01-01,2026-01-27,"LAPTOP DEC 2025 - FEB 2026",active,"PC SET AND COMSHOP 25 26",0,ABSOLUTE_OCPM,"Using campaign budget",0,2026-01-03T16:37:05+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,695,943,23.6575,"Above average",Average,Average,94.63,2026-02-21,6,3,,,,,31.543333,4,23.6575,,,31
2026-01-01,2026-01-27,"1/16/26 - R7 57G DIGITAL BLACK",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",,,105,112,,-,-,-,5.48,2026-02-21,,,,,,,,,,,,2
2026-01-01,2026-01-27,"1/13/26 - R5 34G 6PCs",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3280,reach,3280,3309,9.03963415,Average,-,-,29.65,2026-02-21,,,,,,,,,,,,4
2026-01-01,2026-01-27,"1/15/26 - R7 57G 10+1 DISKLESS SETUP",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3814,reach,3814,3896,9.25275302,Average,-,-,35.29,2026-02-21,,,,,,,,,,,,2
2026-01-01,2026-01-27,"1/17/26 - HIGHLIGHTS R5 6PCS",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3805,reach,3805,3925,9.73981603,Average,-,-,37.06,2026-02-21,,,,,,,,,,,,4
2026-01-01,2026-01-27,"1/19/26 - R5 GAMING 6PCS",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",19819,reach,19819,20323,9.90766436,Average,-,-,196.36,2026-02-21,1,1,,,,,196.36,1,196.36,,,27
2026-01-01,2026-01-27,"1/21/26 -R7 5700x with RTX5060 spiderman",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",,,52,56,,-,-,-,8.76,2026-02-21,,,,,,,,,,,,1
2026-01-01,2026-01-27,"1/22/26 - VLOG UPDATE store",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",6926,reach,6926,6984,9.9711233,Average,-,-,69.06,2026-02-21,,,,,,,,,,,,2
2026-01-01,2026-01-27,"1/22/26 - HIGHLIGHTS R5 3400G Compshop Package",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",1503,reach,1503,1600,10.52561544,Average,-,-,15.82,2026-02-21,,,,,,,,,,,,1
2026-01-01,2026-01-27,"1/24/26 - 56G POSEIDON",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",,,10,11,,-,-,-,0.74,2026-02-21,,,,,,,,,,,,
2026-01-01,2026-01-27,"1/26/26 - R5 5600x RTX3060",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",,,1,1,,-,-,-,0.01,2026-02-21,,,,,,,,,,,,
