"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2025-12-01,2025-12-31,"11/05/25 - How we test every build G",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",13326,reach,13326,14079,11.81149632,Average,-,-,157.4,2026-02-21,,,,,,,,,,,,10
2025-12-01,2025-12-31,"11/04/25 - Why Buy local trusted computer store",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",21867,reach,21867,22848,11.94036676,"Below average - Bottom 35% of ads",-,-,261.1,2026-02-21,,,,,,,,,,,,19
2025-12-01,2025-12-31,"R5 5600G 10+1 DP 11/21/25 OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,237,305,15.22,-,-,-,30.44,2026-02-21,3,1,,,,,30.44,2,15.22,,,5
2025-12-01,2025-12-31,"11/14/25 Before upgrade G",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",34191,reach,34191,34830,12.11254424,Average,-,-,414.14,2026-02-21,,,,,,,,,,,,66
2025-12-01,2025-12-31,"11/20/25 - r5 5600g 10+1 dp",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",16899,reach,16899,18144,12.88656133,"Below average - Bottom 35% of ads",-,-,217.77,2026-02-21,1,1,,,,,217.77,1,217.77,,,11
2025-12-01,2025-12-31,"11/22/25 - r5 3400g 10+1 dp",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",14704,reach,14704,15795,12.61901523,Average,-,-,185.55,2026-02-21,1,1,,,,,185.55,1,185.55,,,8
2025-12-01,2025-12-31,"11/24/25 - R5 15+1 dp",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",8958,reach,8958,9250,11.64880554,Average,-,-,104.35,2026-02-21,1,1,,,,,104.35,1,104.35,,,12
2025-12-01,2025-12-31,"11/26/25 - r5 3400g 10+1 dp",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",5979,reach,5979,6087,11.98862686,Average,-,-,71.68,2026-02-21,,,,,,,,,,,,8
2025-12-01,2025-12-31,"11/28/25 Small upgrades make a huge difference.",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",39104,reach,39104,40643,12.22202332,"Below average - Bottom 35% of ads",-,-,477.93,2026-02-21,,,,,,,,,,,,28
2025-12-01,2025-12-31,"11/28/25 RAM PRICE HIKE",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",5519,reach,5519,5519,11.73763363,"Below average - Bottom 35% of ads",-,-,64.78,2026-02-21,,,,,,,,,,,,10
